Date,Item,Total Cost,Frequency,Min Price,Max Price
2023-08-11,Balance,$0.00,1,$0.00,$0.00
2024-03-26,PD SQUASH ITALN MD,$29.97,3,$9.99,$9.99
2024-03-26,PD BROC CROWNS DW,$21.77,1,$21.77,$21.77
2024-03-26,PD CUCUMBER SEL 72,$200.43,12,$-7.46,$25.16
2024-03-26,PD TOMATO 25LB XL,$86.98,11,$-22.66,$33.76
2024-03-26,PD POTATO RED A #2,$45.52,2,$22.76,$22.76
2024-03-26,PD BEET SK 25 LB,$44.30,2,$22.15,$22.15
2024-03-26,PD CELERY BULK,$22.20,1,$22.20,$22.20
2024-03-26,PD KALE GREEN 24CT,$27.49,1,$27.49,$27.49
2024-03-26,PD CARROT JMBO 25#,$35.61,3,$11.87,$11.87
2024-03-26,PD ONION YEL JBO,$30.89,1,$30.89,$30.89
2024-03-26,PD CABB GREEN SACK,$14.95,1,$14.95,$14.95
2024-03-26,PD MUSH PORTABELLA,$27.10,4,$-4.52,$18.07
2024-03-26,Sub-Total,$350.50,1,$350.50,$350.50
2024-03-26,Tax,$30.23,1,$30.23,$30.23
2024-03-26,Total,$380.73,1,$380.73,$380.73
2024-03-26,DEBIT    6866,$380.73,1,$380.73,$380.73
2024-03-26,Balance,$0.00,1,$0.00,$0.00
2023-09-27,SCR PAD MED DUTY   96CC,$6.49,1,$6.49,$6.49
2023-09-27,SPNGE GRN/YEL 74CC,$19.52,1,$19.52,$19.52
2023-09-27,FRY PAN COATED 14I,$79.32,2,$39.66,$39.66
2023-09-27,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2023-09-27,TOPO CHICO MINERAL 12Z,$86.94,3,$28.98,$28.98
2023-09-27,PD POTATO RED A #2,$52.70,2,$26.35,$26.35
2023-09-27,CONT SOUP CMB SC24,$345.72,9,$31.39,$45.99
2023-09-27,CONT SOUP CMB SC8,$107.22,4,$24.99,$27.78
2023-09-27,CHX BRST JMB,$444.00,6,$74.00,$74.00
2023-09-27,CHX LEG QTR SM,$70.80,3,$23.60,$23.60
2023-09-27,FSH TUNA AHI LOIN,$198.00,2,$-38.40,$236.40
2023-09-27,BF INS RND XT SEL  R/W,$423.00,3,$-21.15,$332.64
2023-09-27,PD CABB GREEN SACK,$20.47,1,$20.47,$20.47
2023-09-27,Sub-Total,$1452.71,1,$1452.71,$1452.71
2023-09-27,Tax,$125.30,1,$125.30,$125.30
2023-09-27,Total,$1578.01,1,$1578.01,$1578.01
2023-09-27,DEBIT    6866,$1578.01,1,$1578.01,$1578.01
2023-09-27,Balance,$0.00,1,$0.00,$0.00
2023-06-21,SCE SWEET CHILI    32Z,$31.33,1,$31.33,$31.33
2023-06-21,BF INS RND XT SEL  R/W,$549.45,3,$-15.31,$285.77
2023-06-21,CHX HAL LEG QTR SM,$88.80,3,$29.60,$29.60
2023-06-21,CHX BRST JMB,$417.20,7,$59.60,$59.60
2023-06-21,CONT SOUP CMB SC12,$29.62,1,$29.62,$29.62
2023-06-21,DAWN ORIGINAL PUMP,$16.61,1,$16.61,$16.61
2023-06-21,QUINOA WHITE       5#,$47.26,2,$23.63,$23.63
2023-06-21,FABULOSO LAVENDER  169Z,$172.15,5,$22.24,$53.80
2023-06-21,FRY PAN COATED 14I,$76.40,2,$38.20,$38.20
2023-06-21,PD PPR BELL RED LG,$22.73,1,$22.73,$22.73
2023-06-21,PD CELERY BULK,$36.56,1,$36.56,$36.56
2023-06-21,WINE CKING SHERRY  4/1GL,$20.58,1,$20.58,$20.58
2023-06-21,TOM PETITE DICED,$30.32,1,$30.32,$30.32
2023-06-21,PD CARROT JMBO 25#,$26.44,2,$13.22,$13.22
2023-06-21,PD CABB GREEN SACK,$18.48,1,$18.48,$18.48
2023-06-21,PD POTATO RED A #2,$79.60,2,$39.80,$39.80
2023-06-21,PD SQUASH ITALN MD,$36.14,2,$-12.04,$48.18
2023-06-21,PD BRUSSEL SPROUT,$46.77,4,$-62.36,$62.36
2023-06-21,Sub-Total,$1628.09,1,$1628.09,$1628.09
2023-06-21,Tax,$140.42,1,$140.42,$140.42
2023-06-21,Total,$1768.51,1,$1768.51,$1768.51
2023-06-21,DEBIT    6866,$1768.51,1,$1768.51,$1768.51
2023-06-21,Balance,$0.00,1,$0.00,$0.00
2024-05-06,BF GRND 80%        R/W,$33.87,1,$33.87,$33.87
2024-05-06,PD STRAWBERRY NATL,$6.96,3,$2.32,$2.32
