Item: DAWN-MSHD DGRSR, Total: $23.33, Count: 1, Min: $23.33, Max: $23.33
Item: PD COCONUT YOUNG, Total: $23.30, Count: 1, Min: $23.30, Max: $23.30
Item: PD CILANTRO 30CT, Total: $23.26, Count: 3, Min: $-3.70, Max: $14.81
Item: PD SPINACH CLEAN, Total: $22.79, Count: 4, Min: $-9.36, Max: $20.79
Item: QUINOA RED         2/5#, Total: $22.56, Count: 1, Min: $22.56, Max: $22.56
Item: JARRITOS VP GLASS  12.5Z, Total: $22.39, Count: 1, Min: $22.39, Max: $22.39
Item: CRAWFISH 150/200CT, Total: $21.42, Count: 2, Min: $10.71, Max: $10.71
Item: PD HRB ROSEMARY, Total: $21.36, Count: 3, Min: $-11.95, Max: $26.56
Item: VINEGAR BALSMC 3DM 2/5LTR, Total: $21.19, Count: 1, Min: $21.19, Max: $21.19
Item: PD HRB MINT, Total: $21.15, Count: 9, Min: $-3.09, Max: $6.18
Item: REG ROLL 7313SP, Total: $21.06, Count: 1, Min: $21.06, Max: $21.06
Item: BEAN SMALL RED, Total: $20.92, Count: 1, Min: $20.92, Max: $20.92
Item: NICOLE SALAD FORK  DZ, Total: $20.80, Count: 2, Min: $10.40, Max: $10.40
Item: MUSTARD GRY POUPON 48Z, Total: $20.62, Count: 1, Min: $20.62, Max: $20.62
Item: THERMOMETER OVEN   3506, Total: $20.50, Count: 2, Min: $10.25, Max: $10.25
Item: PDU CELERY BAG 5CT, Total: $20.46, Count: 2, Min: $10.23, Max: $10.23
Item: NICOLE BOUIL SPN   1DZ, Total: $20.34, Count: 2, Min: $10.17, Max: $10.17
Item: PDU PPR HABANERO2#, Total: $20.31, Count: 2, Min: $7.71, Max: $12.60
Item: PEPPER CHILI DRIED 6/5LB, Total: $20.25, Count: 1, Min: $20.25, Max: $20.25
Item: GREEN LENTILS, Total: $20.00, Count: 3, Min: $-20.00, Max: $20.00
Item: BLEACH AROCEP GERM 128Z, Total: $19.99, Count: 1, Min: $19.99, Max: $19.99
Item: MOP CTN EXT HVY, Total: $19.84, Count: 2, Min: $9.92, Max: $9.92
Item: SPNGE GRN/YEL 74CC, Total: $19.52, Count: 1, Min: $19.52, Max: $19.52
Item: TOMATO DRIED STRIP 4/5#, Total: $19.11, Count: 1, Min: $19.11, Max: $19.11
Item: SPC THYME          2LB, Total: $18.90, Count: 1, Min: $18.90, Max: $18.90
Item: PD ORG SPINCH BABY, Total: $18.86, Count: 4, Min: $-3.14, Max: $12.57
Item: OIL SESAME LKK     56Z, Total: $18.76, Count: 1, Min: $18.76, Max: $18.76
Item: PD ORG SUPER MIX, Total: $18.70, Count: 2, Min: $9.35, Max: $9.35
Item: NICOLE TEASPOON    DZN, Total: $18.64, Count: 2, Min: $9.32, Max: $9.32
Item: PD MANGO LARGE, Total: $18.30, Count: 2, Min: $-6.10, Max: $24.40
Item: PD EGGPLANT 24CT, Total: $18.05, Count: 1, Min: $18.05, Max: $18.05
Item: NICOLE DINNR KNIFE DZN, Total: $17.02, Count: 1, Min: $17.02, Max: $17.02
Item: FLOUR SACKS 1DZ, Total: $16.96, Count: 1, Min: $16.96, Max: $16.96
Item: ROCHER 48PC CLB PK, Total: $16.95, Count: 1, Min: $16.95, Max: $16.95
Item: MNDL COOK KNF 8", Total: $16.69, Count: 1, Min: $16.69, Max: $16.69
Item: PDU MELON HONEY 2C, Total: $15.76, Count: 2, Min: $-8.48, Max: $24.24
Item: PD ORANGE 88CT, Total: $15.59, Count: 2, Min: $-8.40, Max: $23.99
Item: PD PPR JALAPENO 5#, Total: $14.79, Count: 2, Min: $5.48, Max: $9.31
Item: PD SQUASH YLW MED, Total: $14.30, Count: 1, Min: $14.30, Max: $14.30
Item: PD MUSH SLICED 10#, Total: $13.62, Count: 2, Min: $-11.14, Max: $24.76
Item: APRICOTS TURKISH   32Z, Total: $13.48, Count: 1, Min: $13.48, Max: $13.48
Item: WINE CKING SAUTERN 4/1GL, Total: $13.16, Count: 2, Min: $6.58, Max: $6.58
Item: PD ON GRN ICELESS, Total: $12.89, Count: 1, Min: $12.89, Max: $12.89
Item: WRTS HICKRY SEAS, Total: $12.84, Count: 1, Min: $12.84, Max: $12.84
Item: SQUID T&T CLN 3-5, Total: $12.32, Count: 1, Min: $12.32, Max: $12.32
Item: BROOM JANITOR, Total: $12.23, Count: 1, Min: $12.23, Max: $12.23
Item: TEA UNSWETND CONC, Total: $12.07, Count: 1, Min: $12.07, Max: $12.07
Item: PDU PINEAPPLE 2CT, Total: $11.69, Count: 2, Min: $-5.01, Max: $16.70
Item: PD MICRO CILANTRO, Total: $11.67, Count: 1, Min: $11.67, Max: $11.67
Item: PD SHALLOT PEELED, Total: $11.48, Count: 2, Min: $-6.18, Max: $17.66
Item: PD DATE MEDJOOL 2, Total: $11.38, Count: 1, Min: $11.38, Max: $11.38
